SN_Name,E_B_V_SFD
sn2003ar,0.0216021796940633
sn2003bt,0.03099272843196712
sn2003cg,0.026578668886255978
sn2003ch,0.060351181088090136
sn2003cq,0.017381348735991724
sn2003de,0.010373182432881564
sn2003dt,0.08830164948146689
sn2003du,0.00861884847338507
sn2003eh,0.03899065411459447
sn2003ek,0.020137353636634506
sn2003ep,0.11040103743054386
sn2003ez,0.027675274542197068
sn2003fa,0.03368872441654308
sn2003fd,0.005990338681128902
sn2003ge,0.01465263769148197
sn2003gj,0.05565382565722983
sn2003gn,0.042744122896870775
sn2003gq,0.0596360541073169
sn2003hm,0.05218516196301676
sn2003hu,0.0527329241739528
sn2003hv,0.013130867346100633
sn2003hw,0.19013275048911718
sn2003hx,0.07187231784904237
sn2003hz,0.43784594501342367
sn2003ia,0.01978680965257674
sn2003ic,0.032417822392450155
sn2003if,0.019580872218279845
sn2003im,0.027825925786376653
sn2003in,0.2105391541752268
sn2003it,0.06077078628806892
sn2003iu,0.06640492265121263
sn2003iv,0.11789814725371733
sn2003iz,0.06616547637803216
sn2003jz,0.013213179065627934
sn2003kc,0.017569179911999862
sn2003kd,0.1793789312137561
sn2003kf,0.26877514500318267
sn2003kg,0.03756179874245612
sn2003kh,0.08952746632464777
sn2003kz,0.008633638674399745
sn2003lc,0.046104117638593935
sn2003lq,0.0342160275559992
sn2004B,0.09852101563814314
sn2004H,0.01676283730637235
sn2004J,0.06188968736057342
sn2004K,0.08334144388912872
sn2004L,0.027381714000085808
sn2004P,0.00983854075038477
sn2004ab,0.07083878635063023
sn2004ap,0.030832606589963476
sn2004as,0.013177199552550856
sn2004at,0.010221656646672083
sn2004av,0.047740489592499054
sn2004az,0.017947934389390713
sn2004bc,0.053300173937278573
sn2004bd,0.020524165456768724
sn2004bg,0.018970054759623777
sn2004bj,0.026967479131640663
sn2004bk,0.021807092864590837
sn2004bo,0.07266475736667513
sn2004bp,0.009998535067076313
sn2004ca,0.3857061650525118
sn2004ct,0.026793721019069208
sn2004cu,0.02019854799346444
sn2004da,0.10625148684998294
sn2004db,0.02390572202467683
sn2004dt,0.022824846084304587
sn2004ef,0.04722295404886179
sn2004fd,0.1673281287101131
sn2004fu,0.33390606926546634
sn2004fz,0.05276078461664447
sn2004gc,0.17722784828244595
sn2004gs,0.026477113641699145
sn2004gz,0.012289385968740855
sn2005A,0.025963977686701695
sn2005G,0.0214345180815497
sn2005M,0.026964978654842046
sn2005am,0.046124167794874264
sn2005ao,0.04432574817215554
sn2005bc,0.008991751191138635
sn2005bd,0.17647391964138243
sn2005be,0.029248992828836314
sn2005bl,0.024887154413312608
sn2005bo,0.03953193467251974
sn2005bv,0.015177117542528085
sn2005cc,0.005611173012484972
sn2005cf,0.08430246756661927
sn2005ch,0.030822682775505834
sn2005cn,0.059103386388047616
sn2005cr,0.031146576043178727
sn2005ej,0.04916027818731118
sn2005el,0.09808205773705164
sn2005eq,0.06362671579918326
sn2005eu,0.11306881472534473
sn2005hc,0.028137585623429957
sn2005hf,0.046809245524409515
sn2005hk,0.019560379023744752
sn2005iq,0.019006526951832334
sn2005kc,0.11361484149261752
sn2005ke,0.021125431355943296
sn2005ki,0.027485995368571207
sn2005ls,0.08003750684277933
sn2005lu,0.021946420262339672
sn2005lz,0.07724039849006475
sn2005mc,0.037515808320355754
sn2005mz,0.14006229388715957
sn2005na,0.06681463348398985
sn2006B,0.060562733297272325
sn2006D,0.03930016840279369
sn2006E,0.02301195882537322
sn2006H,0.17720793114565517
sn2006N,0.08256833093251612
sn2006R,0.01702718259741565
sn2006S,0.014350660926188953
sn2006X,0.022555408405999507
sn2006ac,0.013522563837135258
sn2006ak,0.02823588814719883
sn2006al,0.022059777550036953
sn2006ap,0.09373287314363273
sn2006ax,0.04323986157454694
sn2006az,0.011931925567712564
sn2006bb,0.02929296768423786
sn2006bk,0.011900211007191392
sn2006bm,0.015780078627486892
sn2006bq,0.05080659099191106
sn2006br,0.021119372660164455
sn2006bt,0.043215756051897584
sn2006bu,0.02208356233314267
sn2006bw,0.03226505151614231
sn2006bz,0.008821711472884162
sn2006cc,0.01253958778899077
sn2006cf,0.013727879209791665
sn2006cj,0.01018616103084712
sn2006cm,0.04120928544902086
sn2006cp,0.022727272441334677
sn2006cq,0.012878540407065507
sn2006cs,0.010183819887722797
sn2006cz,0.07151350899154607
sn2006da,0.05602841009574795
sn2006dt,0.021095724350452583
sn2006dv,0.060848528578588836
sn2006em,0.050765431142315375
sn2006eq,0.041240558525857604
sn2006et,0.01648409062997361
sn2006eu,0.16678330831286856
sn2006ev,0.07746186545808377
sn2006gj,0.07245828226222042
sn2006gr,0.07319425877206782
sn2006gt,0.03203563125166369
sn2006gz,0.05445771948457555
sn2006hb,0.02345085649118095
sn2006je,0.03969450413078266
sn2006ke,0.1617449344363967
sn2006kf,0.2111552095742427
sn2006le,0.3511295150483007
sn2006lf,0.820662786595582
sn2006mo,0.03833713460813494
sn2006nz,0.034331879699560294
sn2006oa,0.034880493850508405
sn2006oq,0.018478506541645387
sn2006or,0.03099080372071291
sn2006ot,0.015213368701188276
sn2006ou,0.028658261420012644
sn2006sr,0.08096477415585039
sn2006su,0.014846958077619626
sn2006te,0.03891611591639874
sn2007A,0.06339066300301231
sn2007B,0.06795857159109765
sn2007F,0.01493215171637171
sn2007H,0.03436738046083628
sn2007S,0.02391740000121794
sn2007ae,0.03852670473270644
sn2007af,0.03369874180680282
sn2007al,0.03612839001340126
sn2007ao,0.02177038704714649
sn2007ap,0.028012780053770447
sn2007at,0.10075362855511223
sn2007au,0.05770652001943728
sn2007ax,0.04626968829920449
sn2007ba,0.0315783827890434
sn2007bc,0.018619824677383205
sn2007bd,0.029214657673918783
sn2007bj,0.10148841542532402
sn2007bk,0.010082092104740991
sn2007bm,0.03528626072667877
sn2007bz,0.028944370831655478
sn2007ca,0.057477076306605424
sn2007cb,0.06230446470185861
sn2007cc,0.0689812988124898
sn2007cf,0.0293096608358101
sn2007cg,0.07048677795024194
sn2007ci,0.02220407001126612
sn2007cj,0.07103295247202279
sn2007co,0.09734240539469659
sn2007cp,0.03671921226991817
sn2007cq,0.09349757968567196
sn2007fb,0.047767818811563896
sn2007fc,0.021409032329220676
sn2007fs,0.02883300904317314
sn2007hj,0.07576505548195936
sn2007hu,0.03930944994888346
sn2007if,0.07102673009459869
sn2007ir,0.042686991827274215
sn2007is,0.017481247708056855
sn2007jg,0.09127944180020375
sn2007kd,0.018698558803587857
sn2007kf,0.03770132445490407
sn2007kg,0.8553843136723788
sn2007ki,0.06919021606003006
sn2007kk,0.1958663864110633
sn2007le,0.02875788250431001
sn2007nq,0.030483776223001698
sn2007ob,0.058347235904745116
sn2007oo,0.17880319940952774
sn2007qe,0.032945160358565595
sn2007rx,0.07631050106892327
sn2007so,0.1155824002450486
sn2007sr,0.04047821890885724
sn2007ss,0.012867471168886162
sn2007su,0.07158555214511478
sn2007sw,0.01614821170239064
sn2007ux,0.03865491835692968
sn2008A,0.04667010827498597
sn2008C,0.07204775175266365
sn2008E,0.013118089472373952
sn2008L,0.13656618865319164
sn2008Q,0.0711709793273329
sn2008R,0.06202083455793878
sn2008Y,0.011274218118129457
sn2008Z,0.009934947832816905
sn2008ae,0.02369779407193626
sn2008af,0.02898495463498205
sn2008ai,0.014019973856989016
sn2008ar,0.031653365545095
sn2008as,0.05324215605647237
sn2008at,0.07852158806760248
sn2008bf,0.029709463101391352
snf20080514-002,0.02889438441213233
snf20080522-000,0.022795443377694753
snf20080522-011,0.03667998069751251
snf20080623-001,0.037235515258081664
snf20080720-001,0.059948927871306894
