Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc,MJD
sn1994ae-19941207.55-mmt.flm,202.31,1994ae,8.015533207211899,0.7965747286667331,0.0043,0.96,N,0.96,6.95,0.6876,-1.0655332072118986,1.0522951384238546,49693.55
sn2002cd-20020414.49-fast.flm,58.66,2002cd,-4.661520190022889,0.3958828186856691,0.0104,0.84,HV,0.84,-2.3,1.0982,2.3615201900228895,1.1673758803960748,52378.49
sn2007au-20070326.15-fast.flm,28.77,2007au,1.1274509803935835,0.392156862745098,0.02,1.69,N,1.69,2.9,0.6039,1.7725490196064164,0.7200570914851666,54185.15
sn2002cs-20020507.39-fast.flm,77.7,2002cs,-8.47607796810453,0.6891120299271509,0.0158,0.99,HV,0.99,-3.945,1.3201,4.53107796810453,1.4891404902796508,52401.39
sn1998dm-19980930.36-fast.flm,77.99,1998dm,26.28912071534936,0.5961251862891207,0.0065,0.9,N,0.9,22.5,1.5862,-3.789120715349359,1.694519305799801,51086.36
sn1998ab-19980528.24-fast.flm,24.93,1998ab,45.608568646539936,0.4868549172346641,0.027,1.04,91T,1.04,37.2,0.9035,-8.408568646539933,1.0263235164584177,50961.24
sn2007hu-20070913.12-mmt.flm,97.77,2007hu,,,0.0355,,,,1.75,0.6421,,,54356.12
sn2003ek-20030522.43-fast.flm,12.98,2003ek,,,0.036,,,,3.045,1.9578,,,52781.43
sn2003lc-20031228.11-fast.flm,26.04,2003lc,,,0.0346,,,,3.1,0.7974,,,53001.11
sn2007ob-20071107.14-fast.flm,66.71,2007ob,,,0.0339,,,,8.665,0.3807,,,54411.14
sn2002kf-20030113.31-fast.flm,26.79,2002kf,13.842833316982812,0.0981065437064652,0.0193,1.2,,1.2,12.1,0.2549,-1.7428333169828123,0.2731279991469724,52652.31
sn1998es-19981117.20-fast.flm,176.74,1998es,-8.410845042548981,0.8905600633287157,0.0106,0.85,91T,0.85,-7.35,1.0311,1.0608450425489817,1.3624479573165522,51134.2
sn2007if-20070915.46-fast.flm,21.05,2007if,9.365108918262589,0.4654626698938744,0.0742,0.71,pec,0.71,13.15,1.5607,3.784891081737411,1.6286313232480625,54358.46
sn2002cd-20020504.47-fast.flm,30.4,2002cd,15.112826603329449,0.3958828186856691,0.0104,0.84,HV,0.84,14.525,0.4338,-0.5878266033294484,0.5872866813835559,52398.47
sn1999ac-19990324.51-fast.flm,160.53,1999ac,10.90638930163649,0.6934125804853887,0.0095,1.23,91T,1.23,8.0,0.3656,-2.906389301636491,0.7838905323930158,51261.51
sn2001ep-20011115.37-fast.flm,45.56,2001ep,28.40078973346898,0.493583415597236,0.013,1.3,N,1.3,27.95,1.044,-0.4507897334689801,1.1547989384099009,52228.37
sn2001gc-20011204.36-fast.flm,37.2,2001gc,3.3944864122428395,1.962130874129304,0.0193,,HV,,5.55,0.7192,2.1555135877571603,2.0897861630347316,52247.36
sn2002ar-20020215.47-fast.flm,43.51,2002ar,,,0.0302,,,,6.7,0.4978,,,52320.47
