filename,true_age,z_true,logz,logzerr,ncall,eff,chi2,ndof,age_fit,age_err,age_median,age_q16,age_q84,x1_mean,x1_std,x1_median,x1_q16,x1_q84,c_mean,c_std,c_median,c_q16,c_q84,failed,x0_mean,x0_std,x0_median,filename_norm,Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc,MJD,true_age_err
sn2002bo-20020321.24-fast.flm,-2.4494672906493347,0.0043,-422876.5580995457,0.2609689335221419,[1 1 4 ... 1 1 1],4.668998923573735,845737.5335565037,2545,2.773831018737458,0.0138652429912266,2.7734513387479325,2.7608026644026253,2.7872182064478253,0.077957677243267,3.4657393535093144,0.0407702558596572,-4.035699065679524,4.149674820204297,-0.0368864617540224,0.8856613063501756,-0.0635357768442541,-1.026807816557349,1.0093723274585709,False,0.0535818082817557,1.7551612360345762e-05,0.0535819856292161,sn2002bo-20020321.24-fast.flm,sn2002bo-20020321.24-fast.flm,209.09,2002bo,-2.4494672906493347,0.6970028875833914,0.0043,1.08,HV,1.08,1.55,1.4436,3.999467290649335,1.6030576986807386,52354.24,0.6970028875833914
sn2000ce-20000512.15-fast.flm,8.708058644099719,0.0163,-12125.759584538417,0.2419332683684858,[2 2 1 ... 1 1 1],4.847364502297877,24237.945501266156,2545,18.881159394073062,0.0395038315098795,18.881451436301745,18.84148008984073,18.92021984169409,0.2776766873332276,3.4818556487892214,0.5171149449774783,-3.981705901568517,4.229270012526831,0.0524729426542705,0.8765446176831435,0.0661257248369562,-0.9937976758782524,1.138243944267391,False,0.0076697006958366,1.1540131038426793e-05,0.0076702230678239,sn2000ce-20000512.15-fast.flm,sn2000ce-20000512.15-fast.flm,32.64,2000ce,8.708058644099719,0.4919807143559973,0.0163,1.0,N,1.0,7.45,0.2661,-1.2580586440997186,0.5593337405326424,51676.15,0.4919807143559973
sn2003it-20031024.24-fast.flm,1.697395376058885,0.0251,-15162.52383723786,0.2463902151432897,[3 1 1 ... 1 1 1],4.673621027664158,30311.046153298725,2545,2.026656953095557,0.028703365252883,2.0258249680410643,1.999389531593721,2.055834149537205,-0.296887537902972,3.4603592780839536,-0.2858748897467595,-4.31536980018958,3.506268984173264,0.0172534086014426,0.8605237999980265,0.0030875584164156,-0.9562502733672053,1.065227164230392,False,0.0055424408699019,2.43415354887876e-06,0.0055422152620452,sn2003it-20031024.24-fast.flm,sn2003it-20031024.24-fast.flm,74.61,2003it,1.697395376058885,0.195102916788606,0.0251,1.36,N,1.36,-0.4,1.0742,-2.097395376058885,1.0917741470374822,52936.24,0.195102916788606
sn1999gh-19991213.51-fast.flm,12.414409050314614,0.0077,-47053.0911987173,0.2612896368191545,[3 2 1 ... 1 1 1],4.573863636363637,94090.53357151794,2545,21.074309129954894,0.0104430532235807,21.074577769190043,21.063087463503148,21.08448718297223,0.1842192468908642,3.4325975074675146,0.1227945023977064,-3.909647081264221,4.2311878844720106,0.0185463206741335,0.8886282258197004,0.0193372517487384,-1.0117932261961573,1.037998602821145,False,0.052628956764136,1.88853561067451e-05,0.0526290577562038,sn1999gh-19991213.51-fast.flm,sn1999gh-19991213.51-fast.flm,103.09,1999gh,12.414409050314614,0.8931229532598988,0.0077,1.69,N,1.69,22.3,0.8808,9.885590949685389,1.2543832148269856,51525.51,0.8931229532598988
sn1998aq-19980428.26-fast.flm,0.0597669090596151,0.0039,-245179.34246332452,0.2810524609965016,[2 2 2 ... 1 1 1],4.440044171966033,490340.6376599979,2525,-0.9609733275243196,0.0045943949326809,-0.9609778418527064,-0.9657046686940802,-0.9564298852588422,0.1690486048356389,3.462735235776215,-0.0156285422982964,-3.829074877553295,4.361502408655429,0.036741654257785,0.8699982140994637,0.0567639826988508,-0.990130941839659,1.063190183705404,False,0.1691003324971658,9.155845238440357e-06,0.1691000034724218,sn1998aq-19980428.26-fast.flm,sn1998aq-19980428.26-fast.flm,335.94,1998aq,0.0597669090596151,0.3984460603645781,0.0039,1.11,N,1.11,-0.75,1.0178,-0.8097669090596151,1.093012398383501,50931.26,0.3984460603645781
sn1998co-19980624.45-fast.flm,0.933019053228334,0.0182,-32434.724058619347,0.2598042648231596,[3 2 1 ... 1 1 1],4.71479783999637,64853.93591729952,2545,4.633208283363827,0.0164721532947989,4.633957890710583,4.61667106843295,4.6493505986110515,0.4270237094755095,3.4148799937359633,0.5324911604172264,-3.7445613950802814,4.239073979753474,0.0489095030291876,0.8664085299146654,0.0659719307297385,-0.9949635537804224,1.0543532425783717,False,0.0342910347745648,2.1918880892706512e-05,0.0342910313849783,sn1998co-19980624.45-fast.flm,sn1998co-19980624.45-fast.flm,107.31,1998co,0.933019053228334,0.0,0.0182,,N,,3.2,0.4607,2.266980946771666,0.4607,50988.45,0.0
sn2002bf-20020320.22-fast.flm,15.443186255368714,0.0244,-19553.11955670709,0.2502372848798607,[1 1 1 ... 1 1 1],4.660556526668872,39091.75193818929,2545,19.57654208726296,0.0258367157360135,19.575846603551255,19.55058261358775,19.60423347625958,-0.0503106509550089,3.368860645845621,-0.2223340330181216,-3.925261304353555,3.914817380112379,0.0614084508065723,0.8796949880925622,0.0772938400528431,-0.9657201069844388,1.0973229778484537,False,0.013057530613702,1.389727441121793e-05,0.0130578833025933,sn2002bf-20020320.22-fast.flm,sn2002bf-20020320.22-fast.flm,43.54,2002bf,15.443186255368714,1.0737992971495511,0.0244,1.12,HV,1.12,13.3,0.7789,-2.143186255368713,1.3265482051395154,52353.22,1.0737992971495511
sn2008L-20080202.15-fast.flm,5.640572886011379,0.0194,-12973.87012059295,0.2538680455066184,[2 1 2 ... 1 1 1],4.594341561436759,25932.894938774785,2661,3.674205976536291,0.0217022562714251,3.67467925732403,3.65165532953283,3.695269091248989,0.2002872853670637,3.3438126151390413,0.2804512656268443,-3.585357848563965,4.138348810010476,0.069011364093264,0.8849731688919883,0.1702185046586932,-1.0345369234713628,1.0390752726097554,False,0.0187265384744715,1.299295857934595e-05,0.0187266319926089,sn2008l-20080202.15-fast.flm,sn2008L-20080202.15-fast.flm,76.46,2008L,5.640572886011379,0.3923876790268785,0.0194,1.38,HV,1.38,4.3,1.1867,-1.3405728860113788,1.2498899874197331,54498.15,0.3923876790268785
sn2004gs-20041216.49-fast.flm,-0.3019676602424972,0.0266,-6445.1973640151655,0.2450243179171942,[1 1 1 ... 1 1 1],4.932562620423892,12876.495353934866,2661,4.757474468421383,0.0433933698457837,4.757363863281984,4.713263773290542,4.801960712139256,-0.0266841668351801,3.441463534781232,-0.1036102571270767,-3.991678287197167,4.1335114108990165,0.0297312990543331,0.8661297984087053,0.0785297901319843,-1.008678041119472,1.0148810922620035,False,0.0025289450151484,4.309412359564374e-06,0.0025291255879504,sn2004gs-20041216.49-fast.flm,sn2004gs-20041216.49-fast.flm,34.9,2004gs,-0.3019676602424972,0.0974089226573154,0.0266,1.41,N,1.41,3.1,0.5722,3.401967660242497,0.5804320272118509,53355.49,0.0974089226573154
sn2005eu-20051025.29-fast.flm,8.300318871392196,0.0349,-8754.031572707694,0.2467626820761168,[1 4 2 ... 1 1 1],4.911816354057975,17494.048504400544,2658,4.673164047217568,0.0433758974807134,4.672348958309236,4.630369916376168,4.71323335962606,-0.1098634302900681,3.507954219670215,-0.1810229581764915,-4.048335627752718,3.9708070562067466,-0.1153807811624849,0.8428884428429758,-0.1750632985249391,-1.0699837274843498,0.9280682774741144,False,0.0064633158372713,1.0693444965171472e-05,0.0064623806598997,sn2005eu-20051025.29-fast.flm,sn2005eu-20051025.29-fast.flm,38.62,2005eu,8.300318871392196,0.0,0.0349,0.89,N,0.89,6.05,1.6337,-2.2503188713921967,1.6337,53668.29,0.0
