# Wavelength in nm, Data in W / (nm m2)
#wavelength data
352.75406135277075 5.913622811421142e-14
352.9021538889972 1.4221190222583878e-14
353.0502464252237 -5.7485618317416796e-15
353.19833896145013 4.5827613351356324e-14
353.3464314976766 1.6233098108456803e-13
353.494524033903 6.50149390563699e-14
353.64261657012946 4.0543980759492364e-14
353.7907091063559 2.1084153676640384e-14
353.9388016425824 2.4158668728400966e-14
354.08689417880885 2.101170524984381e-14
354.2349867150353 -4.197814466551594e-15
354.38307925126173 -1.5922994046809937e-14
354.5311717874882 1.0457733509918386e-14
354.6792643237146 5.274008625882619e-14
354.8273568599411 5.281150805006338e-14
354.97544939616756 2.8685466404939106e-14
355.123541932394 3.2604243726410953e-14
355.27163446862045 5.6037087969943725e-14
355.4197270048469 2.880293430527437e-14
355.5678195410734 2.0691469969293465e-14
355.71591207729983 1.8702331756055495e-14
355.8640046135263 1.770272549694965e-14
356.0120971497527 3.0468736400614214e-15
356.16018968597916 5.2073915010338875e-14
356.3082822222056 7.315761833230942e-14
356.4563747584321 -3.267387171497701e-15
356.60446729465855 -1.1268934620521183e-14
356.752559830885 1.331781789908381e-14
356.90065236711143 9.617716552119565e-15
357.0487449033379 2.989000590074676e-14
357.1968374395643 2.9928573536459074e-14
357.3449299757908 6.110574407314552e-15
357.49302251201726 2.4244539430383103e-15
357.6411150482437 1.3953907923762778e-14
357.78920758447015 2.3841072793793815e-14
357.9373001206966 -8.487844307702596e-15
358.08539265692303 -2.2787638043979525e-14
358.23348519314953 1.341414309410633e-14
358.381577729376 3.5002818102017095e-14
358.5296702656024 1.2443815026007059e-14
358.67776280182886 5.4901836551958976e-15
358.8258553380553 2.3737638400393983e-14
358.97394787428175 2.9429260127162242e-15
359.12204041050825 2.587377959936374e-14
359.2701329467347 4.785334612425638e-14
359.41822548296113 1.381280516679683e-14
359.5663180191876 -6.9172974409220974e-15
359.714410555414 2.49145436337182e-14
359.8625030916405 2.790324562090795e-14
360.01059562786696 4.305581869375454e-15
360.1586881640934 -8.54485177321194e-15
360.30678070031985 -1.0865650221873972e-14
360.4548732365463 1.1792478510602979e-15
360.60296577277273 2.0679113806840966e-14
360.75105830899923 1.3085154464350802e-14
360.8991508452257 9.62142744216734e-15
361.0472433814521 1.475924884381182e-14
361.19533591767856 1.9983781301488077e-14
361.343428453905 1.608746323606421e-14
361.49152099013145 3.5542118371451024e-15
361.63961352635795 1.2223971820045937e-14
361.7877060625844 1.654266936235751e-14
361.93579859881083 4.0207685508148084e-16
362.0838911350373 1.8291141135806857e-14
362.2319836712637 2.6017928928170522e-14
362.38007620749016 1.3834121453440652e-14
362.52816874371666 2.3566523205503572e-14
362.6762612799431 3.134121239684051e-14
362.82435381616955 2.2576840227490557e-14
362.972446352396 2.6172219804402912e-14
363.12053888862243 1.653439029650913e-14
363.26863142484893 1.6764898287930572e-15
363.4167239610754 -4.5449863004281065e-15
363.5648164973018 8.913575019424057e-15
363.71290903352826 1.4796401726541504e-14
363.8610015697547 1.1092595037357756e-14
364.00909410598115 1.5839403257614256e-14
364.15718664220765 2.0959555279010433e-15
364.3052791784341 1.138254422770578e-15
364.45337171466053 9.072744089087683e-15
364.601464250887 9.802126771071302e-15
364.7495567871134 2.7396971709648247e-15
364.89764932333986 1.2698782068328205e-15
365.04574185956636 -4.5845563127447054e-15
365.1938343957928 5.763196088849762e-15
365.34192693201925 1.0186929034962818e-14
365.4900194682457 1.0116611371884639e-14
365.63811200447213 1.0646675346215654e-14
365.7862045406986 1.440851023073103e-15
365.9342970769251 2.188955548997319e-15
366.0823896131515 7.230220518327807e-15
366.23048214937796 1.1223551664636413e-14
366.3785746856044 9.29820424135708e-15
366.52666722183085 4.116237278260158e-15
366.67475975805735 5.529895906091079e-15
366.8228522942838 7.337149282548556e-15
366.97094483051023 1.0828774225136442e-14
367.1190373667367 9.888181768766794e-15
